# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2252482629,-0.0029,-0.9844,0.3071,10.79,-9.45,28.11
1,2252487629,-0.0078,-0.9897,0.3198,7.32,-11.34,27.87
2,2252492629,-0.0142,-1.0000,0.3262,2.99,-13.48,27.32
3,2252497629,-0.0186,-1.0137,0.3174,-1.59,-15.24,26.65
4,2252502629,-0.0234,-1.0220,0.3091,-5.79,-17.20,25.91
5,2252507627,-0.0381,-1.0283,0.3047,-9.39,-18.66,25.18
6,2252512629,-0.0522,-1.0391,0.2900,-11.71,-19.94,24.39
7,2252517629,-0.0527,-1.0293,0.2788,-13.23,-21.04,23.84
8,2252522629,-0.0249,-1.0127,0.2603,-13.66,-21.83,23.35
9,2252527629,-0.0020,-1.0020,0.2559,-13.48,-22.62,22.93
10,2252533109,0.0107,-1.0049,0.2637,-12.26,-23.29,22.44
11,2252537630,0.0181,-1.0156,0.2681,-11.34,-24.09,22.38
12,2252542628,0.0181,-1.0200,0.2617,-9.76,-24.70,22.38
13,2252547629,0.0171,-1.0073,0.2554,-7.87,-25.37,22.32
14,2252552627,0.0146,-0.9966,0.2607,-5.79,-26.10,22.44
15,2252557629,0.0068,-0.9863,0.2568,-3.66,-27.01,22.62
16,2252562629,0.0044,-0.9824,0.2612,-1.22,-27.68,22.99
17,2252567629,0.0029,-0.9795,0.2593,1.34,-28.54,23.48
18,2252572629,0.0029,-0.9849,0.2534,4.39,-29.27,24.02
19,2252577677,0.0029,-0.9937,0.2417,7.50,-29.76,24.63
20,2252582629,0.0088,-1.0000,0.2275,10.61,-30.30,25.24
21,2252587629,0.0083,-1.0142,0.2095,13.11,-30.85,25.67
22,2252592629,0.0098,-1.0298,0.1968,14.94,-31.46,25.98
23,2252597629,0.0107,-1.0459,0.1978,15.67,-31.89,25.85
24,2252602630,0.0000,-1.0547,0.1987,14.94,-32.26,25.67
25,2252607628,-0.0254,-1.0742,0.2114,12.87,-32.62,25.06
26,2252612629,-0.0684,-1.0986,0.2231,9.88,-32.74,24.39
27,2252617629,-0.0957,-1.0908,0.2163,6.65,-32.62,23.72
28,2252622630,-0.0967,-1.0688,0.2002,4.02,-32.20,23.05
29,2252627628,-0.0874,-1.0562,0.1855,1.83,-31.46,22.20
30,2252632630,-0.0811,-1.0576,0.1772,0.49,-30.67,21.65
31,2252637629,-0.0879,-1.0674,0.1870,-0.49,-29.82,21.04
32,2252642629,-0.0952,-1.0747,0.1890,-0.79,-28.84,20.55
33,2252647627,-0.1060,-1.0640,0.1860,-0.73,-27.80,20.12
34,2252652629,-0.1060,-1.0605,0.1870,-0.30,-26.52,19.63
35,2252658179,-0.0933,-1.0664,0.1719,0.79,-25.12,19.27
36,2252662629,-0.0825,-1.0718,0.1611,1.59,-24.33,19.02
37,2252667629,-0.0757,-1.0742,0.1548,2.26,-23.60,18.66
38,2252672629,-0.0898,-1.0698,0.1543,2.32,-22.80,18.05
39,2252677805,-0.0962,-1.0801,0.1519,1.46,-22.50,16.95
40,2252682630,-0.1011,-1.0938,0.1685,-0.49,-22.13,15.55
41,2252687629,-0.1060,-1.1133,0.1753,-3.41,-22.13,13.78
42,2252692630,-0.1108,-1.1133,0.1816,-6.65,-22.13,11.71
43,2252697627,-0.1050,-1.1230,0.1724,-9.70,-21.89,9.15
44,2252702628,-0.1089,-1.1299,0.1709,-12.87,-21.52,6.59
45,2252707984,-0.1089,-1.1240,0.1621,-16.52,-20.85,3.35
46,2252712629,-0.1060,-1.1206,0.1592,-18.72,-20.37,1.16
47,2252717629,-0.1011,-1.1147,0.1475,-21.22,-19.27,-1.52
48,2252722629,-0.1074,-1.1128,0.1479,-22.93,-18.23,-3.96
49,2252727629,-0.1187,-1.1099,0.1445,-23.96,-16.89,-6.28
50,2252732627,-0.1357,-1.0923,0.1436,-24.02,-15.37,-8.17
51,2252737629,-0.1177,-1.0693,0.1343,-23.66,-14.02,-10.00
52,2252742628,-0.1240,-1.0723,0.1338,-23.29,-12.56,-11.46
53,2252747629,-0.1333,-1.0601,0.1533,-22.87,-11.28,-12.62
54,2252752627,-0.1406,-1.0474,0.1582,-22.26,-9.82,-13.48
55,2252758023,-0.1470,-1.0337,0.1548,-20.98,-8.17,-14.33
56,2252762629,-0.1504,-1.0273,0.1426,-20.00,-7.32,-14.82
57,2252767629,-0.1489,-1.0215,0.1460,-18.48,-5.85,-15.43
58,2252772629,-0.1348,-1.0190,0.1509,-16.65,-4.70,-15.85
59,2252777652,-0.1377,-1.0166,0.1494,-14.94,-3.66,-16.40
60,2252782629,-0.1411,-1.0166,0.1465,-13.17,-2.74,-17.01
61,2252787629,-0.1475,-1.0117,0.1431,-11.65,-1.89,-17.50
62,2252792629,-0.1504,-1.0142,0.1436,-10.30,-1.16,-18.17
63,2252797758,-0.1484,-1.0049,0.1440,-9.45,-0.43,-18.90
64,2252802629,-0.1489,-1.0010,0.1421,-9.33,-0.06,-19.51
65,2252807629,-0.1440,-1.0054,0.1416,-9.57,0.37,-20.12
66,2252812629,-0.1401,-1.0010,0.1421,-10.06,0.49,-20.73
67,2252817630,-0.1382,-1.0005,0.1440,-10.73,0.49,-21.22
68,2252822629,-0.1489,-1.0049,0.1436,-11.71,0.73,-21.77
69,2252827629,-0.1606,-1.0010,0.1396,-12.68,0.73,-22.07
70,2252832629,-0.1729,-0.9927,0.1348,-13.66,0.73,-22.26
71,2252837628,-0.1733,-0.9854,0.1421,-14.51,0.85,-22.26
72,2252842630,-0.1611,-0.9502,0.1309,-15.24,0.98,-21.95
73,2252847629,-0.1533,-0.9458,0.1279,-16.46,1.34,-21.52
74,2252852629,-0.1523,-0.9697,0.1621,-17.50,2.07,-20.73
75,2252857628,-0.1621,-0.9683,0.1348,-18.17,2.68,-19.88
76,2252862629,-0.1743,-0.9526,0.1206,-17.56,3.23,-19.02
77,2252867629,-0.1748,-0.9419,0.1431,-15.85,3.66,-18.11
78,2252872629,-0.1689,-0.9463,0.1572,-13.72,4.02,-17.32
79,2252877629,-0.1626,-0.9463,0.1562,-11.65,4.45,-16.40
80,2252882629,-0.1592,-0.9385,0.1650,-9.88,4.51,-15.55
81,2252887629,-0.1597,-0.9214,0.1689,-8.23,4.51,-14.88
82,2252892629,-0.1626,-0.9023,0.1470,-5.91,4.51,-14.21
83,2252897627,-0.1196,-0.9351,0.1772,-3.96,4.15,-13.48
84,2252902629,-0.1216,-0.9307,0.1924,-3.11,3.41,-12.62
85,2252907629,-0.1499,-0.9253,0.2036,-3.23,2.80,-11.77
86,2252912630,-0.1885,-0.9014,0.2002,-3.90,2.07,-11.04
87,2252917627,-0.2129,-0.9116,0.1836,-4.33,0.98,-10.43
88,2252922629,-0.2344,-0.9233,0.2017,-4.88,-0.43,-9.94
89,2252927629,-0.2549,-0.9438,0.2070,-5.55,-2.26,-9.39
90,2252932629,-0.2529,-0.9194,0.2017,-5.79,-4.15,-8.84
91,2252937628,-0.2285,-0.9067,0.1997,-6.04,-6.10,-8.23
92,2252942630,-0.2017,-0.8896,0.1992,-6.40,-7.87,-7.56
93,2252947629,-0.1890,-0.8848,0.2178,-6.95,-9.76,-6.95
94,2252952629,-0.1870,-0.8730,0.2246,-7.01,-11.34,-6.40
95,2252957918,-0.1226,-0.9199,0.2388,-6.46,-13.78,-5.85
96,2252962629,-0.1362,-0.9248,0.2363,-6.40,-15.12,-5.37
97,2252967629,-0.1533,-0.9531,0.2275,-6.83,-16.46,-4.76
98,2252972629,-0.1523,-0.9341,0.2056,-7.80,-17.99,-3.96
99,2252977628,-0.1670,-0.9512,0.1885,-10.00,-19.39,-3.29
100,2252982629,-0.1919,-0.9854,0.1533,-12.56,-21.28,-2.07
101,2252987629,-0.3213,-0.9351,0.1499,-14.39,-23.11,-0.55
102,2252992629,-0.2114,-0.9502,0.0898,-14.27,-25.85,0.79
103,2252997629,-0.0586,-1.0107,0.1875,-15.91,-28.60,2.56
104,2253002629,-0.0391,-1.0107,0.2246,-20.85,-30.73,4.63
105,2253007629,-0.0796,-0.9702,0.2104,-26.71,-32.74,6.22
106,2253012629,-0.1357,-0.9238,0.1992,-31.83,-34.39,7.32
107,2253017629,-0.2002,-0.9067,0.1865,-35.30,-35.49,7.50
108,2253022628,-0.2456,-0.9326,0.1680,-37.01,-36.46,7.26
109,2253027631,-0.2798,-0.9751,0.1577,-37.38,-37.38,6.89
110,2253032628,-0.2798,-0.9858,0.1592,-37.01,-38.05,6.71
111,2253037629,-0.2715,-0.9829,0.1455,-36.16,-38.23,6.34
112,2253042627,-0.2568,-0.9736,0.1309,-35.24,-38.84,5.85
113,2253047630,-0.2666,-0.9658,0.1157,-34.02,-39.27,5.24
114,2253052678,-0.2817,-0.9497,0.0952,-33.41,-39.51,4.45
115,2253057629,-0.3027,-0.9609,0.1279,-33.78,-40.00,3.72
116,2253062627,-0.2964,-0.9766,0.1592,-34.57,-39.94,2.99
117,2253067629,-0.2793,-0.9814,0.1470,-35.18,-39.70,2.20
118,2253072628,-0.2632,-0.9766,0.1245,-35.18,-39.57,1.16
119,2253077629,-0.2529,-0.9790,0.1304,-34.51,-39.02,0.12
120,2253082627,-0.2500,-0.9790,0.1240,-33.11,-38.54,-0.67
121,2253087627,-0.2471,-0.9829,0.1167,-31.10,-37.87,-1.16
122,2253092627,-0.2495,-0.9702,0.1143,-28.60,-37.20,-1.28
123,2253097627,-0.2534,-0.9561,0.1250,-26.10,-36.65,-1.10
124,2253102627,-0.2456,-0.9380,0.1274,-23.78,-36.22,-0.73
125,2253107632,-0.2368,-0.9121,0.1216,-22.01,-35.61,-0.24
126,2253112627,-0.2070,-0.8945,0.0825,-21.28,-34.82,0.49
127,2253117629,-0.2046,-0.8687,0.0435,-22.68,-34.21,1.34
128,2253122629,-0.2290,-0.8481,0.1084,-24.57,-33.72,2.26
129,2253127632,-0.2451,-0.8525,0.2036,-25.73,-32.44,3.17
130,2253132627,-0.2314,-0.8848,0.1997,-25.85,-31.65,3.84
131,2253137627,-0.2236,-0.9146,0.1665,-25.24,-31.22,4.27
132,2253142629,-0.2148,-0.9150,0.1611,-23.41,-30.37,4.51
133,2253147628,-0.1753,-0.8545,0.1406,-20.30,-29.27,4.27
134,2253152654,-0.1572,-0.8828,0.1323,-16.46,-27.87,3.60
135,2253157627,-0.1587,-0.9004,0.1113,-12.44,-26.40,3.23
136,2253162627,-0.1553,-0.9019,0.0801,-9.33,-24.70,2.80
137,2253167629,-0.2261,-0.9077,0.1104,-7.56,-23.05,2.26
138,2253172629,-0.2563,-0.8833,0.1436,-5.18,-20.73,2.32
139,2253177627,-0.1816,-0.8687,0.1201,-3.29,-18.90,1.83
140,2253183161,-0.1782,-0.9263,0.1216,-2.44,-17.38,1.16
141,2253187629,-0.1997,-0.9414,0.1084,-2.56,-16.52,0.98
142,2253192627,-0.2300,-0.9463,0.1201,-2.93,-15.37,0.73
143,2253197633,-0.2480,-0.9229,0.1113,-2.93,-14.21,1.10
144,2253202627,-0.2529,-0.8979,0.0791,-2.62,-13.23,1.34
145,2253207627,-0.2783,-0.9136,0.0923,-2.26,-11.95,1.95
146,2253212627,-0.2720,-0.8975,0.0898,-1.71,-10.30,2.87
147,2253217909,-0.2578,-0.8979,0.0869,-0.73,-8.29,4.33
148,2253222629,-0.2476,-0.8984,0.0713,0.06,-6.89,5.49
149,2253227627,-0.2388,-0.8906,0.0742,1.16,-5.18,7.20
150,2253232629,-0.2295,-0.9067,0.0703,2.13,-3.29,9.33
151,2253237629,-0.1992,-0.9253,0.0635,3.66,-1.40,12.01
152,2253242628,-0.1606,-0.9141,0.0547,5.37,0.18,15.06
153,2253247629,-0.1099,-0.8726,0.0459,7.62,1.83,17.93
154,2253252628,-0.0742,-0.8579,0.0552,10.43,3.11,20.30
155,2253257629,-0.0571,-0.8784,0.0537,13.29,4.02,22.50
156,2253262629,-0.0615,-0.9341,0.0503,16.04,4.15,24.70
157,2253267629,-0.0781,-0.9321,0.0352,18.17,3.78,27.20
158,2253272627,-0.0508,-0.8794,0.0801,19.76,3.29,29.15
159,2253277627,-0.0718,-0.9004,0.1685,21.59,3.60,30.73
160,2253282629,-0.0967,-0.8916,0.1489,23.35,4.15,32.13
161,2253287629,-0.1089,-0.8726,0.0957,25.61,4.39,33.35
162,2253292628,-0.0835,-0.8804,0.0942,27.20,5.00,34.39
163,2253298069,-0.0557,-0.9165,0.0747,28.11,6.10,35.91
164,2253302629,-0.0728,-0.9199,0.0112,28.35,6.77,37.07
165,2253307692,-0.1157,-0.9087,0.0151,28.60,7.38,38.11
166,2253312629,-0.1475,-0.9121,0.0518,28.78,8.05,38.66
167,2253317630,-0.1763,-0.9561,0.0464,28.72,8.84,38.54
168,2253322629,-0.2124,-1.0142,0.0356,28.23,9.45,37.80
169,2253327627,-0.2515,-1.0698,0.0420,27.01,10.30,36.77
170,2253332629,-0.2617,-1.1040,0.0654,25.85,11.22,35.43
171,2253337629,-0.2432,-1.1260,0.0352,24.63,12.13,33.35
172,2253342629,-0.2217,-1.1558,0.0181,24.02,13.05,31.10
173,2253347628,-0.2021,-1.1763,0.0127,23.60,13.84,28.35
174,2253352627,-0.2168,-1.1895,-0.0308,24.15,14.70,25.43
175,2253357630,-0.2432,-1.2139,-0.0371,28.29,14.88,22.56
176,2253362628,-0.2705,-1.2393,-0.1655,35.12,16.46,19.76
177,2253367630,-0.2358,-1.2124,-0.1660,41.77,18.66,16.83
178,2253372627,-0.2134,-1.1924,-0.0435,47.80,20.06,13.60
179,2253377629,-0.2085,-1.1914,-0.0332,53.35,21.04,10.37
180,2253382628,-0.2163,-1.2046,-0.1064,58.17,22.50,7.44
181,2253387629,-0.2280,-1.2104,-0.0933,61.89,24.02,4.70
182,2253392629,-0.2334,-1.2061,-0.0708,64.09,25.24,2.38
183,2253397629,-0.2041,-1.1860,-0.1177,64.27,26.40,0.18
184,2253402628,-0.1699,-1.1787,-0.1089,62.99,27.74,-1.65
185,2253407629,-0.1621,-1.1738,-0.0576,60.67,29.02,-3.48
186,2253412629,-0.1577,-1.1733,-0.0405,57.87,30.24,-5.12
187,2253417629,-0.1499,-1.1880,-0.0449,55.00,31.52,-6.65
188,2253422628,-0.1562,-1.1865,-0.0352,51.77,32.74,-8.17
189,2253427629,-0.1675,-1.1826,-0.0122,47.56,33.96,-9.82
190,2253432643,-0.1802,-1.1743,-0.0215,42.80,35.12,-11.22
191,2253437631,-0.1875,-1.1650,-0.0234,38.17,36.59,-12.68
192,2253442628,-0.1987,-1.1943,0.0020,34.63,37.44,-14.15
193,2253447629,-0.2012,-1.2002,0.0137,32.62,38.23,-15.91
194,2253452627,-0.2026,-1.1978,-0.0010,31.65,38.84,-17.87
195,2253457630,-0.1909,-1.1821,0.0205,30.91,39.82,-19.88
196,2253462628,-0.1680,-1.1606,0.0479,30.00,40.30,-21.83
197,2253467631,-0.2046,-1.1738,0.0498,29.39,40.91,-23.66
198,2253472627,-0.2197,-1.1899,0.0356,29.21,41.52,-25.55
199,2253477629,-0.2061,-1.1895,0.0522,29.39,42.07,-27.68
200,2253482628,-0.1899,-1.1909,0.0752,29.70,42.38,-30.12
201,2253487629,-0.1851,-1.1880,0.0703,29.76,42.62,-32.38
202,2253492627,-0.1812,-1.1880,0.0664,29.88,42.93,-34.63
203,2253497629,-0.1748,-1.1846,0.0850,29.82,42.99,-36.59
204,2253502628,-0.1221,-1.1826,0.0938,29.27,42.87,-38.60
205,2253507629,-0.1079,-1.1914,0.0981,28.23,42.80,-40.37
206,2253512627,-0.1167,-1.1934,0.1143,26.40,42.99,-42.07
207,2253517629,-0.1089,-1.1851,0.1206,24.27,42.93,-43.60
208,2253522628,-0.0884,-1.1738,0.1299,21.89,42.87,-44.82
209,2253527629,-0.0771,-1.1704,0.1362,19.57,42.62,-46.10
210,2253532627,-0.0728,-1.1582,0.1567,17.56,42.44,-47.20
211,2253537629,-0.0723,-1.1484,0.1572,15.98,42.13,-48.29
212,2253542628,-0.0698,-1.1396,0.1646,14.33,41.65,-49.02
213,2253547629,-0.0796,-1.1270,0.1768,12.44,41.16,-49.88
214,2253552627,-0.0923,-1.1162,0.1909,10.30,40.49,-50.61
215,2253557630,-0.0796,-1.1074,0.1924,7.74,40.06,-51.34
216,2253562628,-0.0752,-1.1064,0.2085,5.30,39.63,-52.01
217,2253567629,-0.0815,-1.1074,0.2124,2.93,39.33,-52.44
218,2253572629,-0.0874,-1.1040,0.2241,0.73,38.60,-52.62
219,2253577629,-0.0649,-1.0967,0.2314,-0.49,38.05,-52.93
220,2253582628,-0.0366,-1.1040,0.2314,-0.98,37.26,-53.17
221,2253587627,-0.0273,-1.1099,0.2393,-0.61,36.52,-53.41
222,2253592629,-0.0229,-1.1328,0.2476,0.37,35.73,-54.02
223,2253597629,-0.0249,-1.1494,0.2505,1.34,34.82,-54.51
224,2253602629,-0.0239,-1.1772,0.2666,2.13,34.09,-55.55
225,2253607671,-0.0303,-1.2056,0.2744,2.74,33.41,-56.89
226,2253612627,-0.0410,-1.2319,0.2759,3.48,32.87,-58.72
227,2253617627,-0.0562,-1.2656,0.2842,3.96,32.07,-61.40
228,2253622629,-0.0566,-1.2881,0.2891,4.09,31.77,-63.54
229,2253627632,-0.0601,-1.3101,0.3042,3.78,31.28,-66.52
230,2253632627,-0.0562,-1.3257,0.3237,3.17,30.67,-69.82
231,2253637627,-0.0391,-1.3394,0.3413,3.05,30.43,-73.41
232,2253642627,-0.0269,-1.3545,0.3516,3.60,30.12,-77.32
233,2253647632,-0.0356,-1.3735,0.3647,5.43,29.76,-81.52
234,2253652627,-0.0439,-1.3877,0.3745,8.54,29.39,-86.10
235,2253657627,-0.0562,-1.3955,0.3818,12.80,29.15,-90.98
236,2253662632,-0.0615,-1.4082,0.3877,17.68,28.60,-96.10
237,2253667628,-0.0723,-1.4136,0.3979,23.23,28.17,-101.40
238,2253672629,-0.0762,-1.4204,0.3936,29.27,27.56,-106.89
239,2253677627,-0.0801,-1.4194,0.4023,35.24,26.89,-112.38
240,2253682629,-0.0811,-1.4180,0.4131,41.04,26.28,-118.05
241,2253687628,-0.0796,-1.4136,0.4136,46.10,25.37,-123.60
242,2253692629,-0.0752,-1.4121,0.4214,50.43,24.76,-128.84
243,2253697629,-0.0664,-1.4102,0.4302,53.96,23.84,-133.90
244,2253702629,-0.0435,-1.3892,0.4355,57.20,22.80,-138.78
245,2253707628,-0.0366,-1.3735,0.4429,60.18,21.77,-143.54
246,2253712629,-0.0244,-1.3618,0.4404,62.99,20.61,-147.99
247,2253717627,-0.0098,-1.3325,0.4517,65.37,18.96,-152.07
248,2253722629,-0.0024,-1.2969,0.4521,67.13,17.26,-155.85
249,2253727628,0.0049,-1.2651,0.4609,68.11,15.37,-159.15
250,2253732629,0.0146,-1.2202,0.4648,68.05,13.29,-162.26
251,2253737627,0.0337,-1.1694,0.4614,67.07,11.34,-164.63
252,2253742629,0.0444,-1.1211,0.4648,65.43,9.21,-166.34
253,2253747629,0.0415,-1.0684,0.4629,62.93,7.01,-167.50
254,2253752629,0.0513,-1.0054,0.4551,59.63,5.12,-167.99
255,2253757627,0.0669,-0.9360,0.4463,55.79,3.11,-167.68
256,2253762629,0.0879,-0.8677,0.4399,51.28,1.28,-166.77
257,2253767630,0.1226,-0.7915,0.4316,46.16,-0.06,-164.94
258,2253772627,0.1543,-0.7275,0.4336,40.43,-1.28,-162.26
259,2253777627,0.1782,-0.6587,0.4277,34.33,-2.20,-158.84
260,2253782627,0.2036,-0.5942,0.4121,28.35,-2.93,-154.51
261,2253787627,0.2397,-0.5391,0.3984,22.93,-3.35,-149.57
262,2253792627,0.2480,-0.4829,0.3799,18.05,-3.60,-143.84
263,2253797627,0.2168,-0.4150,0.3794,13.60,-3.90,-137.80
264,2253803389,0.1831,-0.3398,0.3584,9.82,-3.90,-130.12
265,2253807632,0.1802,-0.3081,0.3423,8.35,-3.66,-124.70
266,2253812628,0.1724,-0.2437,0.3145,7.44,-3.60,-116.46
267,2253817662,0.1499,-0.2012,0.2944,7.56,-3.90,-110.85
268,2253822687,0.1157,-0.1621,0.2925,8.35,-4.09,-103.60
269,2253827627,0.0874,-0.1250,0.2842,9.21,-4.27,-96.34
270,2253832627,0.0757,-0.1006,0.2773,10.30,-4.45,-88.84
271,2253837627,0.0874,-0.0615,0.2466,11.71,-4.33,-80.85
272,2253842627,0.1533,-0.0293,0.2412,13.84,-4.70,-72.74
273,2253847629,0.1738,-0.0435,0.2290,16.77,-5.24,-64.21
274,2253852628,0.1733,-0.0249,0.2075,19.45,-5.73,-55.18
275,2253857629,0.1782,-0.0156,0.1919,21.83,-6.65,-46.16
276,2253862627,0.2119,-0.0400,0.1968,23.11,-7.38,-36.83
277,2253867642,0.2715,-0.0664,0.1885,23.11,-7.80,-27.13
278,2253872627,0.3042,-0.0952,0.1772,21.46,-8.35,-17.68
279,2253877627,0.3057,-0.1274,0.1680,17.62,-9.02,-8.48
280,2253882627,0.3032,-0.1714,0.1953,10.98,-9.39,0.18
281,2253887627,0.3174,-0.2368,0.2134,1.95,-9.63,8.11
282,2253892697,0.3477,-0.3071,0.2285,-10.67,-9.76,16.77
283,2253897627,0.3521,-0.3594,0.2466,-19.39,-9.70,21.83
284,2253902631,0.3413,-0.4536,0.2764,-31.34,-9.70,28.35
285,2253907628,0.3364,-0.5146,0.2905,-37.87,-9.76,31.89
286,2253912631,0.3291,-0.5830,0.3091,-43.05,-9.70,35.43
287,2253917627,0.3296,-0.6641,0.3213,-44.57,-9.94,38.17
288,2253922627,0.3398,-0.7578,0.3320,-41.95,-10.18,40.06
289,2253927629,0.3545,-0.8477,0.3281,-35.24,-10.61,41.16
290,2253932628,0.3721,-0.9463,0.3433,-25.12,-11.28,41.65
291,2253937629,0.4014,-1.0376,0.3530,-12.87,-11.83,41.40
292,2253942627,0.4258,-1.1211,0.3564,0.00,-12.44,40.12
293,2253947627,0.4395,-1.2046,0.3560,11.59,-13.05,37.93
294,2253952629,0.4565,-1.2812,0.3740,20.30,-13.66,34.76
295,2253957629,0.4663,-1.3496,0.3862,25.00,-14.27,30.61
296,2253962627,0.4644,-1.4072,0.4014,25.43,-14.45,25.49
297,2253967629,0.4556,-1.4683,0.3999,22.07,-14.88,19.57
298,2253972627,0.4565,-1.5103,0.4019,16.16,-15.30,12.74
299,2253977627,0.4546,-1.5488,0.4072,8.29,-15.85,5.12
300,2253982627,0.4575,-1.5757,0.4121,-0.49,-16.46,-2.80
301,2253987627,0.4595,-1.5957,0.4028,-9.45,-16.89,-11.28
302,2253992627,0.4570,-1.6128,0.3999,-17.74,-17.44,-20.06
303,2253997627,0.4575,-1.6147,0.3931,-24.63,-18.05,-29.15
304,2254002627,0.4507,-1.6230,0.3823,-30.24,-18.48,-38.23
305,2254007627,0.4487,-1.6235,0.3794,-34.39,-18.90,-47.26
306,2254012627,0.4453,-1.6118,0.3711,-36.95,-18.96,-56.16
307,2254017627,0.4434,-1.6021,0.3706,-37.50,-18.66,-65.00
308,2254022654,0.4453,-1.5723,0.3525,-35.06,-17.93,-74.94
309,2254027629,0.4580,-1.5381,0.3428,-30.61,-17.20,-82.74
310,2254032629,0.4512,-1.4893,0.3306,-24.88,-16.40,-89.82
311,2254037628,0.4551,-1.4424,0.3242,-19.88,-15.67,-95.18
312,2254042627,0.4658,-1.3804,0.3174,-13.60,-14.45,-101.16
313,2254047629,0.4751,-1.3032,0.3003,-6.59,-12.93,-107.32
314,2254052629,0.4785,-1.2300,0.2910,-1.89,-11.71,-111.59
315,2254057628,0.4756,-1.1680,0.2798,0.67,-10.55,-114.63
316,2254062629,0.4619,-1.0747,0.2798,2.32,-8.78,-118.29
317,2254067627,0.4580,-1.0063,0.2725,2.13,-7.50,-120.06
318,2254072630,0.4409,-0.9004,0.2573,0.30,-5.55,-121.89
319,2254077628,0.4199,-0.8081,0.2495,-2.13,-3.66,-122.50
320,2254082627,0.4004,-0.7207,0.2422,-4.94,-1.89,-122.32
321,2254087631,0.3965,-0.6274,0.2339,-7.38,-0.12,-121.28
322,2254092629,0.3823,-0.5459,0.2261,-9.02,1.83,-119.39
323,2254097628,0.3247,-0.4438,0.2041,-9.33,3.54,-116.77
324,2254102629,0.2681,-0.3511,0.1890,-8.48,5.49,-113.23
325,2254107627,0.2559,-0.2495,0.1865,-6.83,7.20,-108.72
326,2254112629,0.2583,-0.1431,0.1831,-4.82,8.72,-103.23
327,2254117629,0.2603,-0.0420,0.1782,-2.80,10.43,-96.46
328,2254122631,0.2539,0.0605,0.1841,-0.91,12.01,-88.72
329,2254127627,0.2363,0.1602,0.1724,1.16,13.72,-79.51
330,2254132629,0.2168,0.2515,0.1758,3.05,15.12,-69.02
331,2254137628,0.2051,0.3311,0.1704,4.51,16.71,-57.38
332,2254142629,0.2300,0.4209,0.1743,5.55,18.17,-44.51
333,2254147627,0.2300,0.4912,0.1650,7.01,19.45,-30.61
334,2254152777,0.2095,0.5542,0.1479,8.60,20.37,-15.61
335,2254157629,0.2124,0.6118,0.1372,10.24,20.98,0.43
336,2254162629,0.2056,0.6514,0.1338,11.95,21.22,17.13
337,2254167629,0.1968,0.6899,0.1221,14.09,21.40,34.63
338,2254172628,0.1772,0.7231,0.0879,17.01,21.28,52.56
339,2254177629,0.1733,0.7202,0.0713,20.43,20.85,70.91
340,2254182629,0.1958,0.7085,0.0649,23.05,20.43,89.33
341,2254187629,0.1836,0.7046,0.0708,23.66,20.06,108.23
342,2254192627,0.1592,0.6870,0.0786,22.20,20.00,126.65
343,2254197631,0.1606,0.6445,0.0762,18.78,19.94,144.82
344,2254202629,0.1650,0.5933,0.0889,14.27,19.94,162.56
345,2254207629,0.1558,0.5430,0.0854,9.63,20.06,180.00
346,2254212629,0.1372,0.4761,0.0918,5.24,19.88,197.01
347,2254217630,0.1636,0.3691,0.1064,1.22,19.88,213.84
348,2254222628,0.2197,0.2295,0.1362,-2.56,19.82,230.37
349,2254227630,0.2896,0.0762,0.1523,-6.22,19.76,246.52
350,2254232629,0.3252,-0.0649,0.1797,-10.00,19.39,261.34
351,2254237628,0.3081,-0.2158,0.2056,-14.09,18.84,274.02
352,2254242629,0.2847,-0.4111,0.2388,-18.05,17.87,283.96
353,2254247627,0.2510,-0.5942,0.2700,-20.91,16.59,290.85
354,2254252629,1.3086,-6.7686,0.5093,-10.30,9.70,279.15
355,2254257628,0.5210,-11.4043,0.0591,-1.34,12.07,140.98
356,2254262629,0.5371,-3.9297,-0.3794,-17.50,22.07,52.68
357,2254267627,0.5391,-1.6934,0.2607,0.06,26.22,22.74
358,2254272629,0.7261,-1.3403,0.8203,18.41,20.24,9.21
359,2254277628,0.6465,-1.3950,0.5273,27.74,15.85,3.84
360,2254282629,0.5581,-1.6470,0.1895,22.74,16.34,0.85
361,2254287627,0.5312,-1.7642,0.5610,13.23,15.37,-2.62
362,2254292844,0.4946,-1.7002,0.7549,5.12,12.38,-8.17
363,2254297629,0.4102,-1.5347,0.4385,-2.38,10.43,-15.18
364,2254302628,0.3516,-1.4570,0.3760,-11.71,9.57,-23.23
365,2254307627,0.3306,-1.5347,0.6509,-20.61,6.71,-32.07
366,2254312627,0.3271,-1.6934,0.6289,-28.17,3.66,-41.65
367,2254317629,0.2832,-1.8350,0.4561,-33.29,1.71,-52.13
368,2254322627,0.2505,-1.8950,0.5474,-35.55,-0.43,-63.48
369,2254327628,0.2295,-1.8740,0.6714,-34.51,-3.29,-75.37
370,2254333517,0.2065,-1.8193,0.5557,-29.94,-5.24,-87.80
